Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%
David Brooks,WAL,"FW,MF",Bournemouth,27,960,2,0,3,0,2.5,1.9,35,35,83,0.19,0.0,0.24,0.18,48.0,1.13,0.08,16.3,310,75.4,4795,85.9,77.7,51.1,20,22,18,6,N/A,N/A,N/A,14,6,16,14,18,2,16,5,545,15,59,207,289,39,32.4,58.8,342,1115,25,10,30,14,375,11,18,0,52,50,7,10,41.2
David Raya,ESP,GK,Arsenal,28,3420,0,0,3,0,0.0,0.0,0,14,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,1040,73.6,24784,99.0,98.0,37.7,1,45,3,0,0.89,74.2,34.2,0,0,2,2,0,0,0,2,1480,880,1388,92,0,0,100.0,0.0,921,2729,0,0,1,0,841,1,10,0,0,41,13,0,100.0
Dean Henderson,ENG,GK,Crystal Palace,27,3420,0,0,3,0,0.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,745,61.3,20401,99.4,99.2,31.2,3,23,1,0,1.34,66.7,28.9,2,1,6,4,0,0,0,0,1308,1065,1303,4,1,1,N/A,N/A,751,2136,0,0,2,0,580,0,2,0,0,26,11,1,91.7
Dean Huijsen,ESP,DF,Bournemouth,19,2427,3,2,10,0,1.9,2.0,41,132,10,0.11,0.07,0.07,0.08,16.7,0.11,0.17,11.9,1355,83.4,27219,89.8,91.2,59.5,15,180,7,2,N/A,N/A,N/A,36,26,29,11,40,29,11,51,2021,254,915,971,145,30,40.0,60.0,1118,4349,31,0,20,1,1271,31,10,2,12,105,68,44,60.7
Declan Rice,ENG,MF,Arsenal,25,2825,4,7,7,1,3.5,6.6,90,192,94,0.13,0.22,0.11,0.21,29.2,0.45,0.08,19.6,1376,83.4,23402,92.0,90.5,48.8,59,137,35,5,N/A,N/A,N/A,53,25,41,24,27,13,14,25,1948,82,325,909,733,81,48.3,48.3,1031,3394,58,16,36,32,1266,21,16,2,164,156,37,25,59.7
Dejan Kulusevski,SWE,"MF,FW",Tottenham,24,2389,7,4,3,0,4.2,6.2,120,124,210,0.26,0.15,0.16,0.23,36.2,0.64,0.15,14.7,658,73.7,9216,86.2,78.1,40.5,65,62,52,6,N/A,N/A,N/A,45,23,51,32,34,5,29,13,1276,24,149,432,719,158,32.5,60.7,823,3208,67,40,77,74,895,48,38,5,89,121,10,15,40.0
Destiny Udogie,ITA,DF,Tottenham,21,1924,0,1,2,0,0.3,1.5,54,121,94,0.0,0.05,0.01,0.07,20.0,0.05,0.0,15.1,972,87.2,14117,91.1,90.0,78.8,16,89,6,1,N/A,N/A,N/A,75,47,48,15,40,6,34,22,1376,63,394,609,389,49,40.6,50.0,758,2352,40,12,37,19,819,29,38,3,19,111,13,13,50.0
Diego Carlos,BRA,DF,Aston Villa,31,830,0,0,1,0,0.6,0.0,3,34,0,0.0,0.0,0.07,0.0,25.0,0.11,0.0,6.7,534,88.6,10941,91.4,94.2,65.1,0,23,1,0,N/A,N/A,N/A,8,3,6,2,13,7,6,5,674,86,331,330,15,6,100.0,0.0,419,1162,3,0,1,2,481,11,1,1,0,36,11,10,52.4
Diego Gómez,PAR,MF,Brighton,21,516,1,0,0,0,0.9,0.7,8,27,23,0.17,0.0,0.15,0.13,33.3,0.52,0.11,19.6,243,80.5,3715,86.8,84.0,56.0,8,14,7,1,N/A,N/A,N/A,21,13,22,10,13,0,13,8,403,21,87,212,109,10,50.0,50.0,193,365,4,0,10,9,247,8,3,1,12,32,10,4,71.4
Diogo Dalot,POR,DF,Manchester Utd,25,2814,0,3,5,0,2.0,2.0,62,103,168,0.0,0.1,0.07,0.07,20.0,0.16,0.0,16.1,1347,80.5,21723,89.8,81.9,55.9,26,61,25,8,N/A,N/A,N/A,68,40,52,18,22,9,13,37,1983,113,661,773,566,68,50.9,41.5,1126,2699,37,16,38,21,1200,40,9,4,66,167,38,21,64.4
Diogo Jota,POR,FW,Liverpool,27,1196,6,3,2,0,7.9,1.8,37,34,88,0.45,0.23,0.6,0.14,25.5,0.98,0.12,12.4,216,69.7,3313,76.9,76.0,56.5,11,29,3,1,N/A,N/A,N/A,14,8,19,12,9,0,9,8,485,6,35,198,259,97,33.3,60.6,263,796,23,21,40,22,333,23,14,1,8,41,22,32,40.7
Djed Spence,ENG,DF,Tottenham,23,1792,1,2,4,1,0.6,1.8,59,105,70,0.05,0.1,0.03,0.09,30.0,0.15,0.1,23.9,992,85.4,14185,94.1,85.8,47.8,11,78,18,8,N/A,N/A,N/A,47,34,30,7,28,9,19,21,1428,81,500,641,309,25,50.0,40.8,794,2481,44,7,28,33,872,21,23,2,25,109,21,14,60.0
Dominic Calvert-Lewin,ENG,FW,Everton,27,1609,3,1,2,0,6.7,0.6,23,20,112,0.17,0.06,0.38,0.04,38.0,1.06,0.06,12.3,181,62.6,2113,69.5,58.7,37.5,7,20,5,1,N/A,N/A,N/A,9,7,6,4,7,2,5,7,520,26,45,215,265,88,40.0,52.0,280,463,8,17,77,33,417,27,23,27,6,35,85,81,51.2
Dominic Solanke,ENG,FW,Tottenham,26,2201,9,3,0,0,10.9,2.9,31,47,88,0.37,0.12,0.45,0.12,40.7,0.98,0.14,12.4,255,70.6,3429,75.1,78.2,66.7,14,28,9,0,N/A,N/A,N/A,18,11,16,12,20,9,11,1,655,33,74,299,288,112,33.3,60.8,385,848,23,14,69,51,459,36,36,5,4,38,46,60,43.4
Dominik Szoboszlai,HUN,MF,Liverpool,23,2491,6,6,6,0,7.3,7.4,72,131,127,0.22,0.22,0.27,0.27,32.8,0.79,0.09,18.9,1114,84.3,17528,89.6,88.0,71.4,56,88,33,5,N/A,N/A,N/A,38,20,45,28,39,5,34,9,1584,32,220,761,626,104,51.2,41.5,805,2372,49,18,37,23,1073,44,24,4,41,133,19,23,45.2
Donyell Malen,NED,FW,Aston Villa,25,305,3,0,0,0,2.2,0.2,12,6,30,0.89,0.0,0.64,0.05,60.0,2.66,0.2,15.2,53,68.8,712,82.5,73.7,42.9,3,2,2,0,N/A,N/A,N/A,7,4,4,3,2,0,2,0,129,2,9,33,94,25,36.4,45.5,79,370,7,7,8,7,87,1,5,2,8,9,4,4,50.0
Dwight McNeil,ENG,"MF,FW",Everton,24,1371,4,6,1,0,1.1,5.2,38,69,80,0.26,0.39,0.07,0.34,40.0,0.66,0.16,21.9,461,74.5,8501,87.4,82.5,51.5,37,40,36,10,N/A,N/A,N/A,13,8,21,12,7,0,7,6,748,6,73,328,368,25,53.3,44.4,443,1162,34,5,26,33,510,6,18,1,105,76,3,17,15.0
Eberechi Eze,ENG,"MF,FW",Crystal Palace,26,2588,8,8,1,0,10.5,6.2,69,97,153,0.28,0.28,0.36,0.22,27.0,0.94,0.07,21.5,777,74.2,13226,84.6,81.9,45.8,58,49,39,4,N/A,N/A,N/A,39,22,36,19,27,0,27,11,1414,17,193,661,597,95,48.6,44.9,840,2380,48,22,55,45,907,13,51,9,112,146,7,37,15.9
Eddie Nketiah,ENG,"FW,MF",Crystal Palace,25,1034,3,1,6,1,5.8,1.7,41,19,79,0.26,0.09,0.5,0.15,37.2,1.39,0.07,13.8,179,74.3,2722,79.2,80.0,70.0,13,11,5,0,N/A,N/A,N/A,15,8,13,6,10,1,9,3,412,11,47,176,198,67,35.5,51.6,246,878,25,14,34,17,294,31,29,5,5,26,21,38,35.6
Ederson,BRA,GK,Manchester City,30,2320,0,4,4,0,0.0,1.5,0,2,0,0.0,0.16,0.0,0.06,N/A,0.0,N/A,N/A,811,87.9,19885,100.0,98.3,65.3,4,21,1,0,1.01,69.2,38.5,0,0,2,2,0,0,0,1,975,689,962,13,0,0,N/A,N/A,654,1981,0,0,1,0,616,1,0,0,0,42,4,1,80.0
Edmond-Paris Maghoma,ENG,"MF,FW",Brentford,23,119,0,0,0,0,0.1,0.1,4,13,4,0.0,0.0,0.09,0.08,0.0,0.0,0.0,23.8,76,90.5,1259,95.0,93.5,85.7,1,2,0,0,N/A,N/A,N/A,2,1,3,2,2,2,0,1,101,2,18,58,27,4,75.0,25.0,68,221,3,1,2,0,75,2,4,0,3,7,1,3,25.0
Edson Álvarez,MEX,MF,West Ham,26,1772,0,1,9,1,0.4,0.8,24,85,18,0.0,0.05,0.02,0.04,8.3,0.05,0.0,26.3,861,85.8,14393,89.3,89.8,71.7,12,92,12,3,N/A,N/A,N/A,50,27,35,18,23,8,15,18,1239,67,361,693,194,12,42.4,42.4,687,1714,22,2,27,15,830,42,18,4,6,88,30,23,56.6
Elliot Anderson,ENG,MF,Nott'ham Forest,21,2728,2,6,10,0,2.1,3.3,52,143,95,0.07,0.2,0.07,0.11,17.5,0.23,0.05,18.8,1085,78.3,17458,89.4,81.0,46.7,37,121,19,2,N/A,N/A,N/A,92,56,111,63,48,9,39,31,1832,102,424,891,547,72,48.0,40.0,932,2366,32,21,60,49,1089,49,58,4,86,207,56,30,65.1
Emerson Palmieri,ITA,DF,West Ham,29,2113,2,1,5,0,2.0,1.5,47,66,83,0.09,0.04,0.08,0.06,43.8,0.3,0.13,19.0,861,79.9,12546,89.7,81.3,42.2,16,51,13,5,N/A,N/A,N/A,60,31,48,21,32,8,24,21,1325,82,422,559,359,28,33.3,56.7,555,1737,25,9,24,7,747,25,13,0,64,84,18,20,47.4
Emi Buendía,ARG,"MF,FW",Aston Villa,27,98,0,0,1,0,0.7,0.0,3,7,6,0.0,0.0,0.6,0.02,0.0,0.0,0.0,19.1,49,81.7,624,91.7,85.7,20.0,1,4,1,0,N/A,N/A,N/A,6,6,5,5,5,1,4,0,82,0,17,35,31,3,0.0,100.0,53,119,5,0,4,3,64,4,6,0,0,8,0,2,0.0
Emil Krafth,SWE,DF,Newcastle Utd,29,342,0,0,2,0,0.0,0.1,5,8,3,0.0,0.0,0.01,0.02,0.0,0.0,0.0,14.6,124,78.5,2017,81.1,85.5,58.3,1,6,1,0,N/A,N/A,N/A,4,2,3,1,5,4,1,2,199,34,100,73,28,4,0.0,100.0,82,175,6,0,2,2,98,5,2,0,2,19,8,8,50.0
Emile Smith Rowe,ENG,MF,Fulham,24,2043,6,3,3,0,4.5,1.4,53,126,127,0.26,0.13,0.2,0.06,29.7,0.48,0.16,16.0,922,90.1,13141,92.6,94.8,72.4,24,80,15,1,N/A,N/A,N/A,31,18,24,16,22,2,20,11,1223,20,166,591,476,60,45.7,45.7,779,1932,40,12,36,18,940,19,14,4,16,75,6,20,23.1
Emiliano Martínez,ARG,GK,Aston Villa,31,3194,0,0,5,1,0.0,0.5,0,4,0,0.0,0.0,0.0,0.02,N/A,0.0,N/A,N/A,1091,78.7,28659,98.0,98.3,49.4,2,27,0,0,1.27,69.0,21.6,3,3,2,0,1,0,1,0,1449,1095,1429,20,0,0,100.0,0.0,889,2936,0,0,1,0,784,2,6,0,0,34,10,1,90.9
Emmanuel Agbadou,CIV,DF,Wolves,27,1410,1,0,3,0,0.8,0.2,6,31,2,0.06,0.0,0.05,0.02,28.6,0.13,0.14,27.6,855,85.4,17344,92.3,93.0,59.1,4,40,1,0,N/A,N/A,N/A,30,19,20,7,19,13,6,12,1172,190,649,504,28,7,76.9,15.4,758,1752,4,0,6,4,796,7,4,1,2,83,26,20,56.5
Enes Ünal,TUR,"FW,MF",Bournemouth,27,345,2,1,2,0,2.7,0.4,4,12,22,0.52,0.26,0.72,0.1,35.0,1.83,0.1,14.6,63,63.6,685,76.9,60.7,0.0,4,4,4,0,N/A,N/A,N/A,1,0,3,3,1,0,1,0,172,6,14,63,95,26,8.3,83.3,91,95,3,1,17,13,133,6,9,1,4,16,24,22,52.2
Enzo Fernández,ARG,MF,Chelsea,23,2947,6,7,8,0,6.1,6.8,60,212,126,0.18,0.21,0.19,0.21,37.7,0.61,0.11,18.1,1518,79.9,26776,88.7,84.9,57.5,77,167,41,7,N/A,N/A,N/A,65,33,84,53,43,7,36,13,2210,37,346,1129,751,81,47.3,38.2,1211,2735,55,9,29,28,1622,52,54,2,109,156,14,29,32.6
Erling Haaland,NOR,FW,Manchester City,24,2736,22,3,2,0,22.0,3.0,24,20,124,0.72,0.1,0.72,0.1,52.9,1.81,0.18,12.3,255,66.9,3086,71.1,70.2,66.7,29,10,8,1,N/A,N/A,N/A,11,6,8,5,12,1,11,5,639,22,40,222,384,190,36.1,55.6,310,577,15,23,45,27,478,24,13,4,3,34,57,50,53.3
Ethan Nwaneri,ENG,"FW,MF",Arsenal,17,895,4,2,1,0,1.2,1.2,46,33,113,0.4,0.2,0.12,0.12,37.5,0.91,0.17,18.5,342,80.5,4906,92.3,76.9,51.4,16,17,16,6,N/A,N/A,N/A,11,7,21,14,8,2,6,2,544,3,44,167,339,44,59.7,30.6,365,1329,25,17,23,17,398,9,5,6,54,34,4,8,33.3
Ethan Pinnock,JAM,DF,Brentford,31,1913,2,0,2,0,1.1,1.2,3,41,9,0.09,0.0,0.05,0.05,60.0,0.28,0.2,11.1,924,85.6,17045,94.2,89.4,57.9,8,48,4,1,N/A,N/A,N/A,35,19,24,11,29,18,11,24,1348,294,783,457,109,24,33.3,66.7,633,1633,4,0,2,4,760,8,4,0,9,50,63,43,59.4
Evan Ferguson,IRL,FW,Brighton,19,246,1,0,0,0,0.5,0.4,2,1,9,0.37,0.0,0.2,0.15,28.6,0.73,0.14,19.2,43,74.1,484,86.1,72.7,25.0,3,1,0,0,N/A,N/A,N/A,4,3,5,3,3,1,2,0,88,7,13,50,26,9,50.0,50.0,42,56,1,2,5,6,52,3,1,0,0,10,4,9,30.8
