Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%
Jarrod Bowen,ENG,"FW,MF",West Ham,27,2973,13,8,1,0,8.6,6.8,109,91,212,0.39,0.24,0.26,0.21,41.9,1.09,0.14,17.4,584,71.7,9476,84.0,74.8,57.4,51,41,46,8,N/A,N/A,N/A,41,26,40,21,22,4,18,16,1252,28,132,466,678,171,33.8,58.5,741,2501,46,61,70,77,834,20,51,10,106,129,12,48,20.0
Jason Steele,ENG,GK,Brighton,33,180,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,101,90.2,2321,100.0,96.9,65.4,0,0,0,0,0.5,75.0,50.0,0,0,0,0,0,0,0,0,114,107,114,0,0,0,N/A,N/A,91,151,0,0,0,0,83,0,1,0,0,7,1,1,50.0
Jay Robinson,ENG,"MF,FW",Southampton,17,137,0,0,0,0,0.0,0.7,3,1,10,0.0,0.0,0.03,0.44,100.0,0.66,0.0,13.2,23,67.6,264,82.4,75.0,25.0,3,1,1,0,N/A,N/A,N/A,4,1,1,0,0,0,0,0,54,4,15,18,22,5,54.5,45.5,33,92,2,1,1,6,29,3,1,0,1,12,0,1,0.0
Jean-Clair Todibo,FRA,DF,West Ham,24,1825,0,0,3,0,0.4,0.0,9,38,5,0.0,0.0,0.02,0.0,0.0,0.0,0.0,12.8,951,87.9,16772,93.9,94.4,44.0,2,44,1,0,N/A,N/A,N/A,47,28,36,10,25,13,12,26,1297,165,716,543,47,11,56.3,43.8,760,1602,5,0,14,11,890,16,6,0,3,79,28,26,51.9
Jean-Philippe Mateta,FRA,FW,Crystal Palace,27,2648,14,2,2,0,13.5,3.2,45,52,122,0.48,0.07,0.46,0.11,42.6,0.99,0.18,15.6,291,65.1,3849,75.9,63.8,30.4,29,34,16,2,N/A,N/A,N/A,18,12,16,13,19,4,15,2,739,26,64,350,340,94,43.5,47.8,400,1048,22,10,72,45,539,27,28,21,26,68,63,107,37.1
Jean-Ricner Bellegarde,HAI,"MF,FW",Wolves,26,1677,2,7,3,0,1.5,3.8,52,43,89,0.11,0.38,0.08,0.2,22.7,0.27,0.09,21.2,475,79.3,7404,89.1,80.9,58.1,27,30,18,8,N/A,N/A,N/A,39,24,20,6,19,3,16,10,843,24,148,394,318,48,23.0,50.8,528,1573,38,11,42,29,592,31,47,1,44,62,10,19,34.5
Jefferson Lerma,COL,"MF,DF",Crystal Palace,29,2274,0,1,9,0,1.1,1.6,13,97,26,0.0,0.04,0.04,0.06,30.8,0.32,0.0,19.8,844,75.3,14709,86.4,81.9,44.4,10,87,18,2,N/A,N/A,N/A,35,17,36,17,38,18,20,42,1406,124,469,703,244,29,53.8,30.8,649,1100,11,0,15,18,803,35,39,0,12,154,41,39,51.3
Jeffrey Schlupp,GHA,"MF,DF",Crystal Palace,31,103,0,0,0,0,0.2,0.2,4,5,9,0.0,0.0,0.14,0.14,50.0,1.75,0.0,17.7,39,78.0,591,84.2,78.3,50.0,3,4,2,0,N/A,N/A,N/A,2,0,3,3,6,0,6,0,79,2,9,31,41,6,100.0,0.0,30,67,1,1,7,0,41,1,0,0,4,6,3,4,42.9
Jens Cajuste,SWE,MF,Ipswich Town,24,1959,1,1,2,0,0.7,0.8,26,59,20,0.05,0.05,0.03,0.04,8.3,0.05,0.08,19.7,647,82.6,10596,89.1,85.2,50.8,13,51,6,1,N/A,N/A,N/A,44,22,49,28,25,10,15,28,1017,61,286,530,217,15,52.8,35.8,481,1329,23,3,23,17,594,24,22,0,10,107,13,22,37.1
Jeremy Doku,BEL,"FW,MF",Manchester City,22,1516,3,6,1,0,1.3,4.8,213,69,286,0.18,0.36,0.08,0.29,31.0,0.53,0.1,17.7,603,79.1,8464,86.4,81.0,66.7,32,12,48,6,N/A,N/A,N/A,31,22,15,7,11,1,10,4,1027,4,46,233,772,161,53.2,29.9,796,4865,95,109,59,59,854,10,33,5,59,63,0,12,0.0
Jeremy Monga,N/A,"FW,MF",Leicester City,15,112,0,0,0,0,0.2,0.0,6,3,10,0.0,0.0,0.13,0.01,33.3,0.8,0.0,19.8,18,62.1,215,86.7,83.3,0.0,1,2,1,0,N/A,N/A,N/A,2,1,1,0,3,2,1,0,51,1,9,16,27,5,28.6,42.9,37,157,2,3,5,2,32,0,5,0,4,10,0,1,0.0
Jesper Lindstrøm,DEN,FW,Everton,24,1239,0,1,2,0,2.1,2.0,30,25,81,0.0,0.07,0.15,0.15,35.7,0.73,0.0,21.0,297,69.4,4593,86.2,65.7,44.6,19,18,12,7,N/A,N/A,N/A,45,25,55,36,15,3,12,12,625,22,127,206,303,40,18.6,72.1,302,780,19,7,31,24,347,15,10,1,71,70,6,12,33.3
Joachim Andersen,DEN,DF,Fulham,28,2583,0,0,6,1,1.0,0.5,16,112,2,0.0,0.0,0.04,0.02,21.1,0.14,0.0,15.1,1654,82.7,36471,91.8,93.2,55.2,4,196,6,3,N/A,N/A,N/A,27,18,24,9,37,28,9,34,2336,340,1233,1013,102,22,66.7,0.0,1350,3435,14,1,6,3,1621,18,19,0,12,122,70,39,64.2
Joe Aribo,NGA,"MF,DF",Southampton,28,2013,3,0,1,0,2.7,1.6,36,75,65,0.13,0.0,0.12,0.07,41.2,0.31,0.18,14.0,929,88.8,13689,91.3,91.3,68.9,16,51,4,1,N/A,N/A,N/A,47,33,35,18,28,11,17,20,1271,52,313,670,299,44,42.9,44.9,745,2021,29,12,27,19,925,20,28,1,10,112,25,24,51.0
Joe Gomez,ENG,DF,Liverpool,27,519,0,0,1,0,0.3,0.1,5,35,2,0.0,0.0,0.06,0.02,66.7,0.35,0.0,11.9,377,88.7,6689,91.2,93.6,61.9,2,29,0,0,N/A,N/A,N/A,13,10,16,5,9,6,3,7,481,54,183,264,37,5,N/A,N/A,303,947,2,1,1,2,335,2,3,0,2,34,9,4,69.2
Joe Lumley,ENG,GK,Southampton,29,270,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,106,70.2,2342,95.5,91.3,35.6,0,2,0,0,2.33,65.0,0.0,0,0,0,0,0,0,0,0,164,116,161,3,0,0,N/A,N/A,103,296,0,0,0,0,108,0,0,0,0,2,2,1,66.7
Joe Willock,ENG,"MF,FW",Newcastle Utd,24,1086,0,2,4,0,1.6,2.1,38,41,86,0.0,0.17,0.14,0.18,16.7,0.25,0.0,15.1,300,82.6,4282,89.2,87.0,45.5,22,28,8,0,N/A,N/A,N/A,30,17,31,13,24,6,18,6,533,12,74,231,239,55,34.3,48.6,325,1034,28,16,37,23,372,23,13,3,18,40,5,14,26.3
Joelinton,BRA,"MF,FW",Newcastle Utd,27,2393,4,3,10,0,3.9,2.5,40,116,110,0.15,0.11,0.15,0.09,28.9,0.49,0.09,14.0,863,82.7,12199,87.7,86.6,60.0,23,80,17,2,N/A,N/A,N/A,57,35,44,19,37,7,30,23,1360,67,256,670,448,83,32.6,60.9,729,1786,26,9,39,53,934,58,35,7,16,149,59,46,56.2
John McGinn,SCO,"MF,FW",Aston Villa,29,2223,1,4,7,0,3.1,3.5,32,103,87,0.04,0.16,0.13,0.14,16.1,0.2,0.03,17.0,699,81.9,11807,91.6,85.8,57.7,31,70,29,8,N/A,N/A,N/A,33,24,31,18,22,2,20,14,1072,31,164,558,361,58,42.6,27.7,581,1270,17,7,37,29,744,43,69,3,60,100,17,12,58.6
John Stones,ENG,"DF,MF",Manchester City,30,548,2,0,1,0,0.4,0.1,10,21,2,0.33,0.0,0.07,0.01,100.0,0.33,1.0,5.1,367,91.1,6382,94.4,92.5,77.5,2,42,0,0,N/A,N/A,N/A,6,2,5,0,5,3,2,4,442,40,142,234,68,4,100.0,0.0,292,1183,14,0,2,0,333,2,2,0,0,22,8,6,57.1
Jonny Evans,NIR,DF,Manchester Utd,36,315,0,0,1,0,0.1,0.0,3,10,3,0.0,0.0,0.04,0.0,50.0,0.29,0.0,11.4,192,88.5,3090,94.7,89.0,50.0,0,10,1,0,N/A,N/A,N/A,8,6,6,3,3,2,1,5,250,36,139,100,15,3,100.0,0.0,143,242,2,0,1,0,151,5,6,0,0,16,9,3,75.0
Jordan Ayew,GHA,"FW,MF",Leicester City,32,1638,5,0,5,0,3.2,1.1,49,46,86,0.27,0.0,0.17,0.06,25.8,0.44,0.13,18.8,401,74.3,5942,86.9,75.4,40.7,16,25,14,7,N/A,N/A,N/A,27,15,23,16,21,2,19,12,798,21,103,407,312,55,40.6,50.0,479,1540,37,11,63,40,540,30,59,7,60,93,37,80,31.6
Jordan Pickford,ENG,GK,Everton,30,3420,0,1,7,0,0.0,0.4,0,0,0,0.0,0.03,0.0,0.01,N/A,0.0,N/A,N/A,1057,66.3,33692,99.3,98.5,46.1,2,74,8,0,1.16,73.0,31.6,1,0,2,1,0,0,0,1,1708,1116,1640,69,0,0,N/A,N/A,989,3568,0,0,2,0,871,0,7,0,0,36,5,1,83.3
Jorge Cuenca,ESP,DF,Fulham,24,351,0,0,0,0,0.0,0.0,0,10,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,13.1,145,83.8,2483,91.1,89.2,35.0,0,7,0,0,N/A,N/A,N/A,6,2,8,5,4,4,0,2,214,38,134,74,7,1,100.0,0.0,89,140,1,0,2,0,133,2,2,0,1,10,6,3,66.7
Jorginho,ITA,MF,Arsenal,32,704,0,0,5,0,0.1,0.4,12,48,6,0.0,0.0,0.01,0.05,0.0,0.0,0.0,23.2,411,86.7,6468,91.5,88.4,58.3,3,44,10,0,N/A,N/A,N/A,12,4,20,12,3,0,3,7,522,9,93,304,131,3,25.0,50.0,302,874,13,0,12,9,389,15,17,0,1,55,1,6,14.3
Joshua Acheampong,ENG,DF,Chelsea,18,170,0,0,1,0,0.2,0.0,0,8,0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,8.9,104,83.9,2025,90.6,92.6,55.0,0,6,0,0,N/A,N/A,N/A,2,1,2,0,1,0,1,1,137,7,48,81,8,3,50.0,0.0,106,409,2,0,2,0,111,0,1,0,0,7,1,6,14.3
Joshua King,ENG,MF,Fulham,17,130,0,0,0,0,0.3,0.4,3,9,16,0.0,0.0,0.22,0.3,0.0,0.0,0.0,9.0,54,84.4,928,90.6,87.5,75.0,3,5,2,0,N/A,N/A,N/A,7,5,3,3,3,0,3,1,87,2,12,31,46,10,50.0,50.0,44,138,4,0,1,6,60,3,2,0,2,5,1,2,33.3
Joshua Zirkzee,NED,"FW,MF",Manchester Utd,23,1402,3,1,2,0,4.8,1.5,14,44,69,0.19,0.06,0.31,0.1,39.3,0.71,0.11,13.1,292,71.2,3600,78.1,74.4,50.0,12,26,6,0,N/A,N/A,N/A,14,8,10,5,15,4,11,6,587,16,71,303,219,56,31.4,68.6,327,523,21,4,41,30,418,9,13,3,4,57,21,54,28.0
José Sá,POR,GK,Wolves,31,2609,0,0,2,0,0.0,0.2,0,2,0,0.0,0.0,0.0,0.01,N/A,0.0,N/A,N/A,592,64.1,15334,99.2,97.0,31.1,3,22,1,0,1.66,63.2,24.1,2,2,2,0,0,0,0,0,985,785,976,10,0,0,100.0,0.0,630,2483,0,0,1,0,485,4,9,0,0,37,11,1,91.7
Jota Silva,POR,"FW,MF",Nott'ham Forest,24,854,3,1,5,0,2.1,2.9,21,18,59,0.32,0.11,0.22,0.3,30.4,0.74,0.13,14.5,118,60.2,1692,76.7,61.7,31.6,14,4,9,3,N/A,N/A,N/A,27,14,27,21,9,1,8,12,357,19,83,104,181,46,29.4,44.1,175,632,13,9,24,12,202,24,23,8,21,43,21,30,41.2
João Félix,POR,"FW,MF",Chelsea,24,369,1,1,2,0,2.2,1.0,21,26,30,0.24,0.24,0.54,0.23,25.0,1.22,0.05,15.9,171,85.9,2588,90.5,91.2,66.7,6,22,8,0,N/A,N/A,N/A,8,3,9,4,2,0,2,3,272,2,26,128,125,30,32.3,45.2,193,712,13,5,6,4,218,6,17,1,0,22,4,5,44.4
João Gomes,BRA,MF,Wolves,23,2974,3,1,11,1,2.9,1.2,59,165,76,0.09,0.03,0.09,0.04,20.0,0.21,0.09,18.3,1380,85.0,19707,90.7,86.3,58.9,23,122,24,1,N/A,N/A,N/A,116,71,110,62,42,4,38,25,1998,62,431,1105,491,45,46.2,43.1,1059,2843,51,6,43,51,1335,70,47,1,29,200,11,26,29.7
João Pedro,BRA,"FW,MF",Brighton,22,1948,10,6,4,1,8.9,5.0,66,78,128,0.46,0.28,0.41,0.23,35.7,0.69,0.12,17.2,482,72.9,6847,78.7,75.1,65.9,30,42,36,5,N/A,N/A,N/A,16,12,11,7,12,0,12,9,940,12,60,387,508,122,33.7,54.7,616,1821,39,30,72,38,732,26,46,2,22,59,41,43,48.8
Joël Veltman,NED,DF,Brighton,32,1697,0,0,5,0,0.5,0.5,32,85,34,0.0,0.0,0.02,0.02,16.7,0.05,0.0,19.7,745,80.2,12563,89.9,80.8,63.6,6,66,9,5,N/A,N/A,N/A,43,29,52,21,22,7,15,19,1133,65,332,558,253,10,26.7,33.3,548,1521,25,3,19,7,626,27,44,0,24,68,21,18,53.8
Joško Gvardiol,CRO,DF,Manchester City,22,3277,5,0,2,0,4.6,2.1,91,264,121,0.14,0.0,0.13,0.06,30.0,0.33,0.13,12.9,2454,90.2,39905,94.0,92.7,66.0,26,247,20,1,N/A,N/A,N/A,58,39,40,19,42,20,22,44,3103,146,764,1549,815,98,58.1,32.6,1997,6002,102,15,29,16,2257,16,27,3,22,137,54,41,56.8
Julian Araujo,MEX,DF,Bournemouth,22,497,0,0,2,0,0.0,0.1,4,14,22,0.0,0.0,0.0,0.01,N/A,0.0,N/A,N/A,178,79.1,3006,89.4,86.5,34.5,1,17,3,2,N/A,N/A,N/A,10,5,12,7,3,0,3,6,275,20,90,136,55,2,0.0,100.0,126,258,3,0,5,2,149,7,2,1,9,29,3,9,25.0
Julio Enciso,PAR,"MF,FW",Brighton,20,294,0,0,0,0,1.0,0.2,11,14,17,0.0,0.0,0.31,0.07,55.0,3.37,0.0,21.3,99,66.0,1464,81.3,72.5,22.7,5,13,4,1,N/A,N/A,N/A,0,0,2,2,2,0,2,0,202,2,17,72,116,20,47.6,38.1,114,386,10,4,7,9,141,3,7,0,20,15,6,5,54.5
Jurriën Timber,NED,DF,Arsenal,23,2417,1,3,7,0,1.2,0.8,57,146,104,0.04,0.11,0.05,0.03,28.6,0.15,0.07,14.1,1194,85.6,17327,91.0,86.0,52.9,17,107,17,2,N/A,N/A,N/A,58,38,27,9,19,4,15,22,1661,51,304,859,505,66,45.3,45.3,890,2076,27,11,33,24,1052,31,29,6,28,94,22,20,52.4
Justin Devenny,NIR,MF,Crystal Palace,20,507,1,1,1,0,0.8,0.6,5,21,13,0.18,0.18,0.14,0.11,60.0,1.07,0.1,21.1,148,72.2,2433,81.1,71.8,48.3,7,22,4,1,N/A,N/A,N/A,17,12,19,11,6,1,5,0,279,8,53,149,83,8,50.0,50.0,134,333,5,1,17,3,167,8,0,1,17,27,2,13,13.3
Justin Kluivert,NED,MF,Bournemouth,25,2340,12,6,8,0,10.3,4.8,81,105,173,0.46,0.23,0.4,0.19,40.4,0.88,0.11,20.0,582,74.4,8844,84.3,76.2,51.7,45,45,35,6,N/A,N/A,N/A,23,11,22,18,24,0,24,14,1086,24,99,366,641,134,41.4,46.0,646,2364,55,38,55,27,710,47,33,5,85,78,8,28,22.2
Jáder Durán,COL,FW,Aston Villa,20,638,7,0,3,1,4.9,0.2,7,13,44,0.99,0.0,0.69,0.03,48.4,2.12,0.23,15.6,115,70.6,1558,81.0,68.0,45.5,4,10,1,0,N/A,N/A,N/A,8,7,4,3,5,0,5,0,263,13,36,110,122,47,21.4,64.3,133,267,7,2,16,15,192,14,15,5,3,19,19,19,50.0
Jørgen Strand Larsen,NOR,FW,Wolves,24,2587,14,4,4,0,10.3,3.0,17,29,112,0.49,0.14,0.36,0.1,61.1,1.15,0.26,11.3,295,64.6,3818,71.7,65.2,70.0,21,19,4,1,N/A,N/A,N/A,10,6,27,23,19,4,15,6,736,36,85,348,304,108,40.0,55.0,345,464,14,9,90,34,534,46,19,16,6,42,67,100,40.1
Kai Havertz,GER,"FW,MF",Arsenal,25,1875,9,3,5,0,9.5,2.4,35,61,113,0.43,0.14,0.46,0.12,39.6,1.01,0.17,11.6,407,78.4,4905,84.1,82.6,45.5,17,27,9,1,N/A,N/A,N/A,16,9,15,11,23,4,19,6,785,31,92,287,411,107,23.7,63.2,418,954,23,18,44,23,584,38,23,14,11,41,63,78,44.7
Kalvin Phillips,ENG,MF,Ipswich Town,28,1237,0,0,6,1,0.4,0.2,4,51,4,0.0,0.0,0.03,0.02,18.2,0.15,0.0,24.3,436,79.1,8581,83.1,86.7,61.2,5,49,6,1,N/A,N/A,N/A,35,19,39,24,35,6,29,19,739,61,223,398,122,5,41.7,50.0,310,569,5,0,25,10,394,28,20,0,20,68,7,22,24.1
Kamaldeen Sulemana,GHA,"FW,MF",Southampton,22,1402,1,1,2,0,1.5,1.0,63,27,87,0.06,0.06,0.1,0.06,27.6,0.51,0.03,18.6,285,79.8,4101,88.1,83.5,46.4,10,6,13,7,N/A,N/A,N/A,22,17,15,5,16,4,12,6,587,17,92,219,301,59,37.9,54.4,380,1620,37,28,50,25,410,22,11,3,26,63,13,27,32.5
Kaoru Mitoma,JPN,"FW,MF",Brighton,27,2603,10,4,1,0,9.2,4.6,146,89,291,0.35,0.14,0.32,0.16,47.4,0.93,0.18,13.9,749,75.8,9777,87.2,71.3,44.2,37,36,36,8,N/A,N/A,N/A,45,27,49,30,48,3,45,14,1375,17,155,468,782,164,39.7,56.5,830,3906,82,56,53,23,966,40,24,5,75,99,26,27,49.1
Kasey McAteer,IRL,FW,Leicester City,22,852,1,1,3,0,1.0,0.7,19,14,71,0.11,0.11,0.11,0.08,53.8,0.74,0.08,16.4,183,72.6,2556,84.3,75.0,50.0,9,13,6,2,N/A,N/A,N/A,23,16,29,15,18,2,16,5,379,21,76,141,169,30,24.0,60.0,224,575,11,9,20,16,243,18,15,3,21,45,13,17,43.3
Keane Lewis-Potter,ENG,"DF,FW",Brentford,23,3093,1,3,7,0,3.1,3.2,98,98,156,0.03,0.09,0.09,0.09,50.0,0.41,0.04,20.2,982,77.1,16310,90.0,78.6,48.6,26,69,47,18,N/A,N/A,N/A,49,27,50,19,28,10,18,21,1613,102,504,625,505,74,40.6,49.5,868,3211,69,35,51,20,966,18,31,4,78,146,27,35,43.5
Kenny Tete,NED,DF,Fulham,28,1774,0,2,5,0,1.4,0.9,34,63,54,0.0,0.1,0.07,0.05,8.3,0.1,0.0,15.5,772,80.8,12358,91.4,80.7,56.5,9,65,13,6,N/A,N/A,N/A,56,38,38,15,31,12,19,32,1205,79,402,484,329,37,45.0,30.0,611,1336,21,7,17,10,695,35,16,1,38,74,24,22,52.2
Kepa Arrizabalaga,ESP,GK,Bournemouth,29,2790,0,0,3,0,0.1,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,752,73.2,20531,98.4,98.2,48.2,1,10,0,0,1.26,73.9,25.8,1,0,2,2,2,0,2,0,1087,800,1057,29,1,1,100.0,0.0,621,1797,0,0,0,0,486,2,6,0,0,56,7,1,87.5
Kevin Danso,AUT,DF,Tottenham,25,842,0,0,0,0,0.4,0.1,11,19,1,0.0,0.0,0.04,0.01,42.9,0.32,0.0,16.9,480,86.5,9082,89.6,92.8,54.1,2,22,2,1,N/A,N/A,N/A,7,5,11,5,15,14,1,6,676,108,394,257,29,8,66.7,33.3,448,1195,5,1,8,3,475,9,13,0,1,27,21,12,63.6
Kevin De Bruyne,BEL,"MF,FW",Manchester City,33,1702,4,7,2,0,5.1,8.0,51,157,150,0.21,0.37,0.27,0.42,26.3,0.79,0.07,21.4,908,75.9,15487,85.5,77.1,56.6,57,88,59,13,N/A,N/A,N/A,17,9,23,18,8,0,8,7,1368,10,75,455,850,79,38.2,50.0,812,2076,51,20,26,28,1021,17,18,5,145,64,5,16,23.8
Kevin Schade,GER,FW,Brentford,22,2293,11,2,3,0,8.2,3.7,61,38,165,0.43,0.08,0.32,0.14,49.1,1.06,0.2,11.5,323,59.7,4930,69.8,61.7,41.9,23,32,11,3,N/A,N/A,N/A,39,25,23,10,19,4,15,5,883,43,154,238,507,146,33.7,58.4,434,1357,28,38,60,36,543,21,38,13,38,83,90,80,52.9
Kieran Tierney,SCO,"DF,FW",Arsenal,27,259,1,0,0,0,0.4,1.4,8,15,29,0.35,0.0,0.12,0.48,50.0,0.35,0.5,4.1,145,83.8,2325,94.5,83.3,53.3,8,13,5,2,N/A,N/A,N/A,7,5,6,2,0,0,0,3,199,8,36,72,91,6,50.0,25.0,108,253,6,1,3,0,143,1,2,2,14,6,5,5,50.0
Kieran Trippier,ENG,DF,Newcastle Utd,33,1309,0,3,1,0,0.1,1.4,26,117,58,0.0,0.21,0.01,0.1,0.0,0.0,0.0,23.6,1036,82.5,17676,94.5,85.7,48.3,22,70,22,2,N/A,N/A,N/A,38,21,36,14,11,3,8,12,1388,50,375,616,406,13,50.0,50.0,609,1224,14,4,11,8,847,16,11,2,82,68,22,15,59.5
Kiernan Dewsbury-Hall,ENG,"MF,FW",Chelsea,25,264,0,1,0,0,0.2,1.1,5,14,11,0.0,0.34,0.08,0.36,0.0,0.0,0.0,7.8,127,83.6,1898,91.5,83.9,50.0,3,12,3,0,N/A,N/A,N/A,8,5,6,2,2,0,2,2,184,5,30,96,58,6,50.0,50.0,95,221,1,0,1,3,138,4,6,0,2,9,0,1,0.0
Kobbie Mainoo,ENG,MF,Manchester Utd,19,1651,0,0,5,0,0.7,1.6,22,65,47,0.0,0.0,0.04,0.09,13.3,0.11,0.0,20.5,723,86.5,9649,92.2,87.7,68.9,14,50,12,1,N/A,N/A,N/A,46,29,40,16,16,2,14,19,1061,25,197,587,287,36,46.0,50.0,652,1222,17,10,36,36,760,27,21,3,7,88,19,31,38.0
Konstantinos Mavropanos,GRE,DF,West Ham,26,2045,0,0,6,1,1.5,0.5,17,61,2,0.0,0.0,0.07,0.02,27.8,0.22,0.0,14.8,1092,86.3,21548,91.4,92.8,58.0,5,64,4,1,N/A,N/A,N/A,35,24,27,11,25,18,7,40,1532,244,806,671,63,24,52.9,29.4,864,2292,10,1,12,0,1008,17,16,3,2,77,57,25,69.5
Kosta Nedeljković,SRB,DF,Aston Villa,18,126,0,0,0,0,0.0,0.0,1,6,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,47,88.7,853,95.7,84.0,80.0,0,5,0,0,N/A,N/A,N/A,7,5,3,1,1,0,1,0,66,4,15,32,19,0,50.0,50.0,27,33,0,0,1,0,32,0,1,0,1,4,0,1,0.0
Kostas Tsimikas,GRE,DF,Liverpool,28,837,0,1,2,0,0.4,2.1,17,76,43,0.0,0.11,0.04,0.23,50.0,0.22,0.0,16.1,550,84.1,9357,94.7,87.7,51.0,16,42,12,4,N/A,N/A,N/A,31,20,23,9,5,2,3,11,741,33,190,327,229,13,41.7,41.7,368,790,8,2,6,4,472,9,6,1,64,31,5,8,38.5
Kristoffer Ajer,NOR,DF,Brentford,26,1438,0,0,5,0,1.0,1.2,27,56,44,0.0,0.0,0.06,0.08,33.3,0.19,0.0,9.5,504,78.3,7868,87.0,80.2,50.0,8,44,7,4,N/A,N/A,N/A,26,18,27,13,17,4,13,12,795,53,265,368,168,38,43.8,50.0,387,1180,11,2,15,12,491,13,6,2,14,42,27,23,54.0
Kyle Walker,ENG,DF,Manchester City,34,970,0,0,3,0,0.1,0.4,12,64,11,0.0,0.0,0.01,0.04,40.0,0.19,0.0,27.7,724,87.7,11928,94.6,91.3,51.2,7,63,7,4,N/A,N/A,N/A,17,10,26,12,13,4,9,3,892,26,197,473,228,5,50.0,33.3,499,1106,13,0,9,2,630,6,5,1,14,46,9,7,56.3
Kyle Walker-Peters,ENG,DF,Southampton,27,2918,0,2,5,0,0.8,2.8,114,139,144,0.0,0.06,0.03,0.09,30.0,0.19,0.0,18.3,1493,88.2,22418,93.9,90.0,60.2,24,119,30,4,N/A,N/A,N/A,44,29,35,19,27,15,12,19,2022,151,615,884,540,59,41.3,42.4,1271,4373,72,24,32,39,1433,28,52,2,51,135,11,21,34.4
Lamare Bogarde,NED,"DF,MF",Aston Villa,20,476,0,0,2,0,0.0,0.1,12,14,9,0.0,0.0,0.01,0.02,100.0,0.19,0.0,20.2,240,88.2,3682,92.8,92.2,33.3,2,24,1,0,N/A,N/A,N/A,14,6,16,6,5,3,2,1,325,16,95,191,40,4,50.0,25.0,173,599,6,1,6,8,212,8,11,0,0,13,6,6,50.0
Leandro Trossard,BEL,FW,Arsenal,29,2546,8,7,4,1,7.2,6.1,80,101,226,0.28,0.25,0.25,0.22,29.2,0.74,0.11,15.9,711,74.5,11435,85.9,77.0,49.4,41,45,48,10,N/A,N/A,N/A,31,20,34,22,32,0,32,9,1278,17,135,399,762,158,44.2,43.0,828,2218,55,30,66,52,956,27,46,6,86,104,6,24,20.0
Leif Davis,ENG,DF,Ipswich Town,24,2743,1,2,5,1,1.0,4.9,52,59,137,0.03,0.07,0.03,0.16,12.5,0.07,0.06,19.8,919,71.6,15858,86.2,77.8,37.1,61,33,28,12,N/A,N/A,N/A,46,27,48,18,25,8,17,25,1562,117,534,520,527,42,34.2,47.4,708,2073,31,11,37,16,835,27,31,5,161,113,34,23,59.6
Leny Yoro,FRA,DF,Manchester Utd,18,1165,0,0,5,0,0.7,0.1,19,52,4,0.0,0.0,0.05,0.01,20.0,0.08,0.0,8.6,708,92.4,11513,95.4,94.1,65.9,2,44,5,1,N/A,N/A,N/A,29,11,19,6,5,3,2,18,894,87,413,414,70,13,50.0,50.0,614,1765,13,1,3,4,656,9,2,1,1,46,16,16,50.0
Leon Bailey,JAM,"FW,MF",Aston Villa,26,1139,1,2,3,0,1.7,1.5,58,35,121,0.08,0.16,0.14,0.12,21.4,0.47,0.04,17.3,277,71.0,4313,81.7,81.3,47.4,16,16,20,2,N/A,N/A,N/A,7,5,11,8,6,0,6,3,545,18,77,155,323,70,38.6,42.1,348,1371,23,34,35,25,390,12,18,3,34,59,6,9,40.0
Lesley Ugochukwu,FRA,MF,Southampton,20,1655,1,1,7,0,0.9,1.0,29,49,20,0.05,0.05,0.05,0.06,10.0,0.05,0.1,17.0,600,85.0,9335,88.4,90.8,60.5,14,54,7,1,N/A,N/A,N/A,50,24,36,18,27,10,17,14,879,50,215,501,169,24,67.9,28.6,479,1229,15,6,12,13,600,31,16,0,6,67,20,18,52.6
