Player,Team,Pos,Age,Standard_Gls,Standard_Ast,Standard_xG,Standard_xAG,Transfer_Value,Transfer_Value_Str
Oleksandr Zinchenko,Arsenal,"DF,MF",27,0,1,0.6,0.2,13.1967,EUR 13.2M
Oliver Scarles,West Ham,"DF,FW",18,0,0,0.1,0.1,23.446800000000003,EUR 23.4M
Oliver Skipp,Leicester City,MF,23,0,0,0.4,0.3,14.198699999999999,EUR 14.2M
Ollie Watkins,Aston Villa,FW,28,16,8,15.3,3.3,30.7314,EUR 30.7M
Omar Marmoush,Manchester City,"FW,MF",25,7,0,5.5,2.8,24.76575,EUR 24.8M
Omari Hutchinson,Ipswich Town,"MF,FW",20,3,2,2.9,3.5,25.964999999999996,EUR 26.0M
Orel Mangala,Everton,MF,26,1,0,1.1,0.6,13.6884,EUR 13.7M
Pablo Sarabia,Wolves,"MF,FW",32,3,2,2.9,1.8,19.442700000000002,EUR 19.4M
Pape Matar Sarr,Tottenham,MF,21,3,2,3.7,1.6,16.8021,EUR 16.8M
Patrick Dorgu,Manchester Utd,DF,19,0,0,0.4,0.7,12.37464,EUR 12.4M
Patson Daka,Leicester City,"FW,MF",25,1,0,1.3,0.1,20.9385,EUR 20.9M
Pau Torres,Aston Villa,DF,27,0,0,0.5,0.1,10.381920000000001,EUR 10.4M
Paul Onuachu,Southampton,FW,30,4,1,3.6,0.5,20.448,EUR 20.4M
Pedro Neto,Chelsea,FW,24,4,6,3.5,6.7,26.3304,EUR 26.3M
Pedro Porro,Tottenham,DF,24,2,6,1.6,5.0,13.203839999999998,EUR 13.2M
Pervis Estupiñán,Brighton,DF,26,1,1,1.2,2.1,11.278080000000001,EUR 11.3M
Phil Foden,Manchester City,"MF,FW",24,7,2,5.2,4.8,26.288999999999998,EUR 26.3M
Philip Billing,Bournemouth,MF,28,0,0,0.6,1.1,12.814199999999998,EUR 12.8M
Radu Drăgușin,Tottenham,DF,22,0,0,0.1,0.4,11.577599999999999,EUR 11.6M
Raheem Sterling,Arsenal,"FW,MF",29,0,2,1.4,0.5,19.354049999999997,EUR 19.4M
Ramón Sosa,Nott'ham Forest,"FW,MF",24,1,0,1.0,0.5,21.4245,EUR 21.4M
Rasmus Højlund,Manchester Utd,FW,21,4,0,5.3,1.8,25.379550000000002,EUR 25.4M
Rayan Aït-Nouri,Wolves,DF,23,4,7,2.7,5.5,14.291759999999998,EUR 14.3M
Raúl Jiménez,Fulham,FW,33,12,3,12.0,3.3,23.942700000000002,EUR 23.9M
Reece James,Chelsea,"DF,MF",24,1,1,0.4,0.7,14.4348,EUR 14.4M
Reiss Nelson,Fulham,FW,24,1,1,1.1,1.0,21.8592,EUR 21.9M
Renato Veiga,Chelsea,"DF,MF",21,0,0,0.1,0.0,14.714699999999997,EUR 14.7M
Ricardo Pereira,Leicester City,DF,30,0,0,0.1,0.0,9.609599999999999,EUR 9.6M
Riccardo Calafiori,Arsenal,DF,22,2,1,0.9,0.3,12.291839999999999,EUR 12.3M
Richarlison,Tottenham,FW,27,4,1,3.7,0.9,22.07835,EUR 22.1M
